In [1]: %run create_time_graph_files.py
0: start day= 0.000; elapsed secs, days= 35087, 0.406;  # nodes,edges= 16610, 31598
1: start day= 0.406; elapsed secs, days= 18649, 0.216;  # nodes,edges= 18009, 39402
2: start day= 0.622; elapsed secs, days= 31749, 0.367;  # nodes,edges= 18431, 42156
3: start day= 0.989; elapsed secs, days= 34189, 0.396;  # nodes,edges= 19292, 46633
4: start day= 1.385; elapsed secs, days= 18441, 0.213;  # nodes,edges= 19834, 50645
5: start day= 1.599; elapsed secs, days= 26786, 0.310;  # nodes,edges= 20039, 52651
6: start day= 1.909; elapsed secs, days= 39045, 0.452;  # nodes,edges= 20254, 54295
7: start day= 2.360; elapsed secs, days= 22033, 0.255;  # nodes,edges= 20632, 57608
8: start day= 2.616; elapsed secs, days= 33798, 0.391;  # nodes,edges= 20782, 58962
9: start day= 3.007; elapsed secs, days= 31613, 0.366;  # nodes,edges= 20926, 60187
10: start day= 3.373; elapsed secs, days= 18269, 0.211;  # nodes,edges= 21167, 62279
11: start day= 3.584; elapsed secs, days= 26321, 0.305;  # nodes,edges= 21325, 63559
12: start day= 3.889; elapsed secs, days= 40845, 0.473;  # nodes,edges= 21392, 64175
13: start day= 4.361; elapsed secs, days= 26791, 0.310;  # nodes,edges= 21597, 65760
14: start day= 4.671; elapsed secs, days= 95336, 1.103;  # nodes,edges= 21659, 66388
15: start day= 5.775; elapsed secs, days= 62724, 0.726;  # nodes,edges= 21675, 67035
16: start day= 6.501; elapsed secs, days= 51454, 0.596;  # nodes,edges= 21695, 67322
17: start day= 7.096; elapsed secs, days= 50863, 0.589;  # nodes,edges= 21733, 67782
18: start day= 7.685; elapsed secs, days= 49870, 0.577;  # nodes,edges= 21769, 68069
19: start day= 8.262; elapsed secs, days= 20519, 0.237;  # nodes,edges= 22114, 70969
20: start day= 8.500; elapsed secs, days= 19874, 0.230;  # nodes,edges= 22256, 72409
21: start day= 8.730; elapsed secs, days= 40182, 0.465;  # nodes,edges= 22268, 72632
22: start day= 9.195; elapsed secs, days= 23404, 0.271;  # nodes,edges= 22415, 74253
23: start day= 9.466; elapsed secs, days= 18044, 0.209;  # nodes,edges= 22547, 75683
24: start day= 9.675; elapsed secs, days= 34141, 0.395;  # nodes,edges= 22570, 76105
25: start day= 10.070; elapsed secs, days= 29424, 0.341;  # nodes,edges= 22644, 77144
26: start day= 10.410; elapsed secs, days= 18190, 0.211;  # nodes,edges= 22769, 78421
27: start day= 10.621; elapsed secs, days= 31284, 0.362;  # nodes,edges= 22833, 79194
28: start day= 10.983; elapsed secs, days= 35974, 0.416;  # nodes,edges= 22867, 79821
29: start day= 11.399; elapsed secs, days= 23415, 0.271;  # nodes,edges= 22988, 81099
30: start day= 11.670; elapsed secs, days= 44379, 0.514;  # nodes,edges= 23003, 81370
31: start day= 12.184; elapsed secs, days= 46960, 0.544;  # nodes,edges= 23010, 81586
32: start day= 12.727; elapsed secs, days= 42970, 0.497;  # nodes,edges= 23016, 81701
33: start day= 13.225; elapsed secs, days= 93224, 1.079;  # nodes,edges= 23042, 82416
34: start day= 14.304; elapsed secs, days= 17554, 0.203;  # nodes,edges= 23187, 84024
35: start day= 14.507; elapsed secs, days= 19164, 0.222;  # nodes,edges= 23287, 85225
36: start day= 14.729; elapsed secs, days= 57153, 0.661;  # nodes,edges= 23342, 86059
37: start day= 15.390; elapsed secs, days= 22166, 0.257;  # nodes,edges= 23480, 87369
38: start day= 15.647; elapsed secs, days= 33027, 0.382;  # nodes,edges= 23515, 87798
39: start day= 16.029; elapsed secs, days= 34047, 0.394;  # nodes,edges= 23580, 89059
40: start day= 16.423; elapsed secs, days= 25785, 0.298;  # nodes,edges= 23708, 90417
41: start day= 16.722; elapsed secs, days= 38246, 0.443;  # nodes,edges= 23712, 90828
42: start day= 17.164; elapsed secs, days= 34492, 0.399;  # nodes,edges= 23836, 92695
43: start day= 17.563; elapsed secs, days= 43227, 0.500;  # nodes,edges= 23917, 93521
44: start day= 18.064; elapsed secs, days= 46264, 0.535;  # nodes,edges= 23983, 94528
45: start day= 18.599; elapsed secs, days= 70264, 0.813;  # nodes,edges= 24012, 94937
46: start day= 19.412; elapsed secs, days= 62977, 0.729;  # nodes,edges= 24020, 95175
47: start day= 20.141; elapsed secs, days= 77295, 0.895;  # nodes,edges= 24024, 95437
48: start day= 21.036; elapsed secs, days= 39817, 0.461;  # nodes,edges= 24107, 96548
49: start day= 21.497; elapsed secs, days= 29748, 0.344;  # nodes,edges= 24191, 97506
50: start day= 21.841; elapsed secs, days= 44549, 0.516;  # nodes,edges= 24208, 97964
51: start day= 22.357; elapsed secs, days= 21633, 0.250;  # nodes,edges= 24303, 99190
52: start day= 22.607; elapsed secs, days= 27896, 0.323;  # nodes,edges= 24343, 99887
53: start day= 22.930; elapsed secs, days= 35012, 0.405;  # nodes,edges= 24370, 100228
54: start day= 23.335; elapsed secs, days= 17863, 0.207;  # nodes,edges= 24440, 101488
55: start day= 23.542; elapsed secs, days= 20132, 0.233;  # nodes,edges= 24500, 102385
56: start day= 23.775; elapsed secs, days= 37359, 0.432;  # nodes,edges= 24503, 102519
57: start day= 24.207; elapsed secs, days= 21713, 0.251;  # nodes,edges= 24560, 103404
58: start day= 24.459; elapsed secs, days= 17694, 0.205;  # nodes,edges= 24634, 104292
59: start day= 24.664; elapsed secs, days= 31192, 0.361;  # nodes,edges= 24648, 104563
60: start day= 25.025; elapsed secs, days= 31687, 0.367;  # nodes,edges= 24662, 104921
61: start day= 25.391; elapsed secs, days= 21965, 0.254;  # nodes,edges= 24723, 105840
62: start day= 25.645; elapsed secs, days= 39258, 0.454;  # nodes,edges= 24732, 106045
63: start day= 26.100; elapsed secs, days= 42495, 0.492;  # nodes,edges= 24734, 106186
64: start day= 26.592; elapsed secs, days= 40200, 0.465;  # nodes,edges= 24738, 106349
65: start day= 27.057; elapsed secs, days= 38210, 0.442;  # nodes,edges= 24743, 106467
66: start day= 27.499; elapsed secs, days= 40793, 0.472;  # nodes,edges= 24746, 106684
67: start day= 27.971; elapsed secs, days= 35116, 0.406;  # nodes,edges= 24768, 107181
68: start day= 28.378; elapsed secs, days= 18433, 0.213;  # nodes,edges= 24823, 108007
69: start day= 28.591; elapsed secs, days= 25451, 0.295;  # nodes,edges= 24869, 108592
70: start day= 28.886; elapsed secs, days= 36411, 0.421;  # nodes,edges= 24872, 108703
71: start day= 29.307; elapsed secs, days= 17776, 0.206;  # nodes,edges= 24924, 109610
72: start day= 29.513; elapsed secs, days= 18332, 0.212;  # nodes,edges= 24971, 110301
73: start day= 29.725; elapsed secs, days= 33914, 0.393;  # nodes,edges= 24979, 110413
74: start day= 30.118; elapsed secs, days= 25008, 0.289;  # nodes,edges= 25006, 110931
75: start day= 30.407; elapsed secs, days= 16658, 0.193;  # nodes,edges= 25070, 111623
76: start day= 30.600; elapsed secs, days= 24401, 0.282;  # nodes,edges= 25098, 112121
77: start day= 30.882; elapsed secs, days= 35193, 0.407;  # nodes,edges= 25098, 112199
78: start day= 31.290; elapsed secs, days= 17953, 0.208;  # nodes,edges= 25135, 112892
79: start day= 31.497; elapsed secs, days= 17897, 0.207;  # nodes,edges= 25189, 113588
80: start day= 31.705; elapsed secs, days= 59427, 0.688;  # nodes,edges= 25203, 113946
81: start day= 32.392; elapsed secs, days= 73838, 0.855;  # nodes,edges= 25243, 114443
82: start day= 33.247; elapsed secs, days= 41161, 0.476;  # nodes,edges= 25247, 114571
83: start day= 33.723; elapsed secs, days= 34929, 0.404;  # nodes,edges= 25248, 114623
84: start day= 34.128; elapsed secs, days= 39011, 0.452;  # nodes,edges= 25249, 114693
